Date,Branch,Month,Year,Diesel Price,Grid Tariff,Diesel Used,Diesel Purhased,Branches_Fix,Start_Litres,Start_Price,Reported_Litres,,,,,,
31/09/2022,Ikeja,October,2022,766,66.14,,5362,Ikeja,314,766,1373,,,,,,1236
,Oke Arin,September,2022,783,46.52,,1100,Oke Arin,1250,783,760,,,,,,830
,Head Office,October,2022,785,59.3078,,2400,Head Office,1560,783,1090,,,,,,460
,Oshodi,October,2022,755,53.78,,5000,Oshodi,4300,755,1400,,,,,,880
,Aba,October,2022,750,53.98,,1600,Aba,1600,750,550,,,,,,400
,Apapa,October,2022,783,60.27,,2000,Apapa,580,783,712,,,,,,440
,Onitsha 1,September,2022,750,57.8135,,0,Onitsha 1,3470,750,820,,,,,,455
,Onitsha 2,September,2022,750,52.7825,,2200,Onitsha 2,1250,750,660,,,,,,780
,Badagry,September,2022,685,52.7825,,0,Badagry,2000,685,450,,,,,,650
,Badagry,November,2022,797,52.7825,,5000,Dugbe,1000,860,0,,,,,,
,Apapa,December,2022,812,60.27,,1500,,,,,,,,,,
,Oke Arin,December,2022,812,46.52,,1950,,,,,,,,,,
,Aba,December,2022,860,53.98,,1970,,,,,,,,,,
,Onitsha 1,December,2022,820,52.78,,5000,,,,,,,,,,
,Onitsha 2,December,2022,820,52.78,,2500,,,,,,,,,,
,Oke Arin,January,2023,812,46.52,,1200,,,,,,,,,,
,Ikeja,January,2023,766,66.14,,4000,,,,,,,,,,
,Head Office,January,2023,812,67.91,,2400,,,,,,,,,,
,Apapa,January,2023,812,60.27,,1500,,,,,,,,,,
,Aba,January,2023,860,53.98,,1000,,,,,,,,,,
,Dugbe,March,2023,860,53.98,,1000,,,,,,,,,,
,Head Office,March,2023,735,67.91,,2200,,,,,,,,,,
,Oke Arin,March,2023,700,46.52,,1250,,,,59.74770833,,,,,,
,Head Office,April,2023,660,74.98,,2200,,,,11.36807649,,,,,,
,Apapa,April,2023,710,60.27,,1200,,,,46.52,,,,,,
,Ikeja,April,2023,640,78.29,,4000,,,,78.29,,,,,,
,Badagry,April,2023,660,52.7825,,3500,,,,,,,,,,
,Dugbe,April,2023,680,53.98,,4000,,,,,,,,,,
,Head Office,May,2023,575,74.98,,1900,,,,,,,,,,
,Aba,May,2023,785,53.98,,3000,,,,,,,,,,
,Onitsha 1,May,2023,670,52.78,,4900,,,,,,,,,,
,Oke Arin,May,2023,575,46.52,,1250,,,,,,,,,,
,Apapa,June,2023,571,60.27,,1120,,,,,,,,,,
,Oshodi,June,2023,571,53.78,,5000,,,,,,,,,,
,Oke Arin,July,2023,626,46.52,,1150,,,,,,,,,,
,Badagry,July,2023,626,52.7825,,4000,,,,,,,,,,
,Dugbe,July,2023,633,53.98,,,,,,,,,,,,
,Aba,August,2023,750,53.98,,2000,,,,,,,,,,
,Head Office,August,2023,761,74.98,,1800,,,,,,,,,,
,Apapa,September,2023,905,64.07,,962,,,,,,,,,,
,Ikeja,September,2023,944,61.53,,3500,,,,,,,,,,
,Oke Arin,September,2023,905,43.27,,1200,,,,,,,,,,
   ,Aba,October,2023,1100,53.98,,1500,,1600,,,,,,,,
,Head Office,October,2023,966,74.98,,2000,,1550,,,,,,,,
,Dugbe,October,2023,1223,53.98,,4000,,2100,,,,,,,,
,Onitsha 2,October,2023,820,52.78,,0,,1900,,,,,,,,
,Onitsha 1,October,2023,1000,52.78,,4000,,1470,,,,,,,,
,Apapa,October,2023,905,64.07,,0,,1900,,,,,,,,
,Badagry,October,2023,626,52.7825,,0,,2150,,,,,,,,
,Oke arin,October,2023,626,43.27,,0,,1750,,,,,,,,
,Ikeja,October,2023,944,61.53,,0,,3891,,,,,,,,
,Aba,November,2023,1100,53.98,,1000,,,,,,,,,,
,Head Office,December,2023,974,74.98,,2000,,,,,,,,,,
,Apapa,December,2023,978,64.07,,1100,,,,,,,,,,
,Oshodi,December,2023,986,53.78,,4000,,,,,,,,,,
,Ikeja,December,2023,944,72.83,,0,,,,,,,,,,
,Head Office,January,2024,1065,69.75,,2100,,,,,,,,,,
,Dugbe,January,2024,1011,53.98,,4000,,,,,,,,,,
,Onitsha 2,January,2024,1100,52.78,,2200,,,,,,,,,,
,Apapa,February,2024,1370,64.07,,0,,,,,,,,,,
,Head Office,February,2024,1468,69.75,,0,,,,,,,,,,
,Ikeja,February,2024,1178,72.83,,3490,,,,,,,,,,
,Oke Arin,February,2024,1178,43.27,,1200,,,,,,,,,,
,Head Office,March,2024,1390,74.98,,2200,,,,,,,,,,
,Oke Arin,March,2024,1426,43.27,,1100,,,,,,,,,,
,Dugbe ,March,2024,1393,53.98,,0,,,,71,,,,,,
,Oke Arin,April,2024,1050,43.27,,1100,,,,225,,,,,,
,Head Office,April,2024,1390,69.75,,2400,,,,243,,,,,,
,Head Office,May,2024,1074,69.75,,2500,,,,,,,,,,
,Badagry,May,2024,1130,52.7825,,0,,,,,,,,,,
,Apapa,June,2024,1145,64.07,,1000,,,,,,,,,,
,Head office,June,2024,1145,69.75,,0,,,,,,,,,,
,Ikeja,June,2024,1140,206.8,,0,,,,,,,,,,
,Dugbe,June,2024,1150,53.98,,4000,,,,,,,,,,
,Ikeja,July,2024,1140,206.8,,0, ,,,,,,,,,
,Head office,August,2024,1140,,,0,,,,,,,,,,
,Oke Arin,August,2024,1151,,,1200,,,,,,,,,,
,Dugbe ,August,2024,1159,,,4000,,,,,,,,,,
,Apapa,September,2024,1140,,,,,,,,,,,,,
,Oke Arin,October,2024,1100,,,,,,,,,,,,,
,Oshodi,October,2024,1125,,,,,,,,,,,,,
,Dugbe,October,2024,1102,,,,,,,,,,,,,
,Apapa,November,2024,1103,,,,,,,,,,,,,
,Head office,November,2024,1103,,,,,,,,,,,,,
,Oke Arin,November,2024,1103,43.27,,,,,,,,,,,,
,Aba,November,2024,1220,,,,,,,,,,,,,
,Head Office,January,2025,1085,,,,,,,,,,,,,
,Oke Arin,January,2025,1085,43.27,,,,,,,,,,,,
,Badagry,January,2025,1085,,,,,,,,,,,,,
